method,task_metric_method,agent_group,case_id,agent_number,target_number,progress,team_ppl_total,team_ppl_makespan,total_distance,maximum_agent_distance,tp,fp,fn,episode_target_balanced_pwgs
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0004,1,4,0.25,0.08663295492,0.08663295492,51.41405739,51.41405739,1,2,0,0.5094976217055628
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0005,1,8,0.75,0.5390204101,0.5390204101,25.25778529,25.25778529,6,2,1,0.6563072249563829
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0006,1,1,0.0,0.0,0.0,26.6919968,26.6919968,0,1,0,0.7502746482692308
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0008,1,4,0.5,0.5,0.5,11.93697657,11.93697657,2,2,2,0.7571672501071476
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0009,1,4,0.0,0.0,0.0,61.61250655,61.61250655,0,0,17,0.42774502949914267
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0010,1,8,0.5,0.1497818279,0.1497818279,76.60479374,76.60479374,4,2,2,0.5538417125907267
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0011,1,1,0.0,0.0,0.0,32.97794331,32.97794331,0,1,0,0.31628269117094665
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0012,1,1,0.0,0.0,0.0,6.435901822,6.435901822,0,1,0,0.7245631691055024
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0013,1,4,0.25,0.05630248482,0.05630248482,70.78593528,70.78593528,1,1,20,0.7849933287990941
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0014,1,4,0.25,0.25,0.25,9.267024379,9.267024379,1,3,0,0.6514022934533626
GPT-Medium,GPT54Medium,single,zsNo4HB9uLZ_case_0015,1,8,0.375,0.375,0.375,19.29080767,19.29080767,3,5,1,0.7532014352746892
Qwen-Thinking,Qwen36_35BA3BThinking,single,17DRP5sb8fy_case_0002,1,1,0.0,0.0,0.0,41.35279541,41.35279541,0,0,0,0.2947155001806289
Qwen-Thinking,Qwen36_35BA3BThinking,single,17DRP5sb8fy_case_0003,1,4,0.5,0.1503901721,0.1503901721,46.99132317,46.99132317,2,1,2,0.6227171640835255
Qwen-Thinking,Qwen36_35BA3BThinking,single,17DRP5sb8fy_case_0004,1,4,0.25,0.0833116833,0.0833116833,42.05008031,42.05008031,1,2,0,0.309617854192921
Qwen-Thinking,Qwen36_35BA3BThinking,single,17DRP5sb8fy_case_0005,1,8,0.5,0.173794503,0.173794503,49.33578271,49.33578271,4,2,2,0.5616667608357228
Qwen-Thinking,Qwen36_35BA3BThinking,single,17DRP5sb8fy_case_0006,1,1,0.0,0.0,0.0,38.72995373,38.72995373,0,0,0,0.40342392369544433
Qwen-Thinking,Qwen36_35BA3BThinking,single,JF19kD82Mey_case_0003,1,4,0.25,0.09613201452,0.09613201452,69.61551069,69.61551069,1,1,1,0.7700769691166974
Qwen-Thinking,Qwen36_35BA3BThinking,single,JF19kD82Mey_case_0004,1,4,0.75,0.3929091408,0.3929091408,60.94062675,60.94062675,3,1,2,0.6280015108060368
Qwen-Thinking,Qwen36_35BA3BThinking,single,JF19kD82Mey_case_0006,1,1,1.0,1.0,1.0,1.429070805,1.429070805,1,0,0,0.9744870645011763
Qwen-Thinking,Qwen36_35BA3BThinking,single,JF19kD82Mey_case_0007,1,1,0.0,0.0,0.0,61.98165957,61.98165957,0,1,16,0.887033330875524
Qwen-Thinking,Qwen36_35BA3BThinking,single,r47D5H71a5s_case_0007,1,1,0.0,0.0,0.0,34.66284305,34.66284305,0,1,0,0.3028719158295651
Qwen-Thinking,Qwen36_35BA3BThinking,single,r47D5H71a5s_case_0008,1,4,0.25,0.08669822841,0.08669822841,50.38661437,50.38661437,1,1,2,0.7320666344171476
Qwen-Thinking,Qwen36_35BA3BThinking,single,r47D5H71a5s_case_0009,1,4,0.25,0.1138901466,0.1138901466,56.69802883,56.69802883,1,2,2,0.5369340250033459
Qwen-Thinking,Qwen36_35BA3BThinking,single,r47D5H71a5s_case_0010,1,8,0.375,0.2876342684,0.2876342684,43.35240018,43.35240018,3,5,0,0.6432615803770506
Qwen-Thinking,Qwen36_35BA3BThinking,single,r47D5H71a5s_case_0011,1,1,0.0,0.0,0.0,48.03517181,48.03517181,0,0,0,0.6168793565881496
Qwen-Thinking,Qwen36_35BA3BThinking,single,r47D5H71a5s_case_0012,1,1,1.0,0.4562226157,0.4562226157,32.18099836,32.18099836,1,0,1,0.4330698698421409
Qwen-Thinking,Qwen36_35BA3BThinking,single,r47D5H71a5s_case_0013,1,4,0.5,0.2189182138,0.2189182138,52.01229752,52.01229752,2,1,1,0.40749908152554676
Qwen-Thinking,Qwen36_35BA3BThinking,single,r47D5H71a5s_case_0014,1,4,0.25,0.09561634775,0.09561634775,64.04725083,64.04725083,1,2,0,0.5712177852617955
Qwen-Thinking,Qwen36_35BA3BThinking,single,r47D5H71a5s_case_0015,1,8,0.125,0.07453384287,0.07453384287,58.03480484,58.03480484,1,5,3,0.5256730900485309
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0003,1,4,0.5,0.2449093888,0.2449093888,45.05587762,45.05587762,2,2,0,0.6618657706039826
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0004,1,4,0.25,0.06590353599,0.06590353599,67.58592919,67.58592919,1,2,0,0.5130238371378262
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0005,1,8,0.625,0.4446497363,0.4446497363,25.51533014,25.51533014,5,3,4,0.5815215634595816
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0006,1,1,0.0,0.0,0.0,9.046608606,9.046608606,0,1,0,0.7445891618125046
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0008,1,4,0.25,0.1062124242,0.1062124242,48.71645668,48.71645668,1,3,3,0.7233293098824418
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0009,1,4,0.0,0.0,0.0,50.20793453,50.20793453,0,1,6,0.46703150687131373
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0010,1,8,0.375,0.1065439951,0.1065439951,80.76949357,80.76949357,3,3,1,0.5802327064376814
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0011,1,1,0.0,0.0,0.0,36.17865976,36.17865976,0,1,0,0.38539453131945667
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0012,1,1,0.0,0.0,0.0,33.29096641,33.29096641,0,1,3,0.7773380427006146
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0013,1,4,0.0,0.0,0.0,61.01882453,61.01882453,0,1,26,0.720291327068859
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0014,1,4,0.25,0.1697107291,0.1697107291,20.50152635,20.50152635,1,3,0,0.6295104807527783
Qwen-Thinking,Qwen36_35BA3BThinking,single,zsNo4HB9uLZ_case_0015,1,8,0.0,0.0,0.0,60.82279683,60.82279683,0,4,17,0.6801777251707687
Qwen-Instant,Qwen36_35BA3BInstant,single,17DRP5sb8fy_case_0002,1,1,0.0,0.0,0.0,44.20037504,44.20037504,0,0,0,0.3179785600365498
Qwen-Instant,Qwen36_35BA3BInstant,single,17DRP5sb8fy_case_0003,1,4,0.5,0.1603843843,0.1603843843,44.06310009,44.06310009,2,1,1,0.6082771683515268
Qwen-Instant,Qwen36_35BA3BInstant,single,17DRP5sb8fy_case_0004,1,4,0.25,0.0744130749,0.0744130749,47.07859443,47.07859443,1,2,0,0.25772189034255544
Qwen-Instant,Qwen36_35BA3BInstant,single,17DRP5sb8fy_case_0005,1,8,0.5,0.1783207685,0.1783207685,48.08350653,48.08350653,4,2,6,0.6498092618435957
Qwen-Instant,Qwen36_35BA3BInstant,single,17DRP5sb8fy_case_0006,1,1,0.0,0.0,0.0,44.78990179,44.78990179,0,0,0,0.29732063731093694
Qwen-Instant,Qwen36_35BA3BInstant,single,JF19kD82Mey_case_0003,1,4,0.5,0.4495113674,0.4495113674,29.77579554,29.77579554,2,2,0,0.7502700147885752
Qwen-Instant,Qwen36_35BA3BInstant,single,JF19kD82Mey_case_0004,1,4,0.0,0.0,0.0,61.86744948,61.86744948,0,0,5,0.5787174050916903
Qwen-Instant,Qwen36_35BA3BInstant,single,JF19kD82Mey_case_0006,1,1,1.0,1.0,1.0,1.429070805,1.429070805,1,0,0,0.9768064222737967
Qwen-Instant,Qwen36_35BA3BInstant,single,JF19kD82Mey_case_0007,1,1,0.0,0.0,0.0,67.11841883,67.11841883,0,0,0,0.7083166257559277
Qwen-Instant,Qwen36_35BA3BInstant,single,r47D5H71a5s_case_0007,1,1,0.0,0.0,0.0,5.613343691,5.613343691,0,1,0,0.13321635965988138
Qwen-Instant,Qwen36_35BA3BInstant,single,r47D5H71a5s_case_0008,1,4,0.0,0.0,0.0,51.64296507,51.64296507,0,0,20,0.7572420847150472
Qwen-Instant,Qwen36_35BA3BInstant,single,r47D5H71a5s_case_0009,1,4,0.25,0.1345193237,0.1345193237,48.00311687,48.00311687,1,0,10,0.543733570976895
Qwen-Instant,Qwen36_35BA3BInstant,single,r47D5H71a5s_case_0010,1,8,0.5,0.3332209916,0.3332209916,49.89535963,49.89535963,4,4,1,0.594584489838546
Qwen-Instant,Qwen36_35BA3BInstant,single,r47D5H71a5s_case_0011,1,1,0.0,0.0,0.0,13.6748201,13.6748201,0,1,0,0.6182869819004907
Qwen-Instant,Qwen36_35BA3BInstant,single,r47D5H71a5s_case_0012,1,1,0.0,0.0,0.0,49.49885297,49.49885297,0,0,5,0.48805818314815436
Qwen-Instant,Qwen36_35BA3BInstant,single,r47D5H71a5s_case_0013,1,4,0.5,0.1934297777,0.1934297777,58.86601019,58.86601019,2,1,0,0.4572377303756289
Qwen-Instant,Qwen36_35BA3BInstant,single,r47D5H71a5s_case_0014,1,4,0.0,0.0,0.0,56.04344238,56.04344238,0,2,1,0.5660023334862524
Qwen-Instant,Qwen36_35BA3BInstant,single,r47D5H71a5s_case_0015,1,8,0.5,0.2679738617,0.2679738617,64.56684989,64.56684989,4,4,0,0.6109508477310769
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0003,1,4,0.25,0.08892292643,0.08892292643,62.04590815,62.04590815,1,2,0,0.6408458342492099
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0004,1,4,0.25,0.05763849428,0.05763849428,77.27737812,77.27737812,1,1,0,0.5452408098999315
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0005,1,8,0.75,0.3450269721,0.3450269721,39.45912316,39.45912316,6,2,2,0.6124632766577245
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0006,1,1,0.0,0.0,0.0,52.68750214,52.68750214,0,1,0,0.5476634040585965
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0008,1,4,0.25,0.07898785346,0.07898785346,65.50745127,65.50745127,1,2,0,0.6342948780024132
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0009,1,4,0.0,0.0,0.0,47.80502614,47.80502614,0,1,3,0.4105610805428299
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0010,1,8,0.25,0.08026403915,0.08026403915,71.47662987,71.47662987,2,3,1,0.6046715188379754
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0011,1,1,0.0,0.0,0.0,23.09223811,23.09223811,0,1,0,0.29656188537715505
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0012,1,1,1.0,0.5717361199,0.5717361199,18.01963332,18.01963332,1,0,1,0.7755777294922144
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0013,1,4,0.0,0.0,0.0,59.19617395,59.19617395,0,0,14,0.6541829004287666
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0014,1,4,0.5,0.1215131661,0.1215131661,57.26669952,57.26669952,2,1,0,0.6570798695495124
Qwen-Instant,Qwen36_35BA3BInstant,single,zsNo4HB9uLZ_case_0015,1,8,0.375,0.132882157,0.132882157,67.63491738,67.63491738,3,1,15,0.749205610102417
Gemma-Instant,Gemma431BThinking,single,17DRP5sb8fy_case_0002,1,1,0.0,0.0,0.0,16.76812032,16.76812032,0,0,0,0.41179993632671685
Gemma-Instant,Gemma431BThinking,single,17DRP5sb8fy_case_0003,1,4,0.0,0.0,0.0,41.92950703,41.92950703,0,0,18,0.6011071591720456
Gemma-Instant,Gemma431BThinking,single,17DRP5sb8fy_case_0004,1,4,0.25,0.0705449069,0.0705449069,49.66004107,49.66004107,1,2,0,0.3072576594677254
Gemma-Instant,Gemma431BThinking,single,17DRP5sb8fy_case_0005,1,8,0.5,0.3644174583,0.3644174583,23.52875155,23.52875155,4,4,0,0.5834682207309279
Gemma-Instant,Gemma431BThinking,single,17DRP5sb8fy_case_0006,1,1,1.0,0.8934087184,0.8934087184,8.906193645,8.906193645,1,0,0,0.7552487530508879
Gemma-Instant,Gemma431BThinking,single,JF19kD82Mey_case_0003,1,4,0.5,0.2030688913,0.2030688913,65.91141796,65.91141796,2,1,2,0.7837408908692473
Gemma-Instant,Gemma431BThinking,single,JF19kD82Mey_case_0004,1,4,0.0,0.0,0.0,72.48140028,72.48140028,0,1,0,0.5470803701808117
Gemma-Instant,Gemma431BThinking,single,JF19kD82Mey_case_0006,1,1,1.0,1.0,1.0,1.429070805,1.429070805,1,0,0,0.9506455925495522
Gemma-Instant,Gemma431BThinking,single,JF19kD82Mey_case_0007,1,1,0.0,0.0,0.0,21.66996316,21.66996316,0,0,0,0.6395300175488535
Gemma-Instant,Gemma431BThinking,single,r47D5H71a5s_case_0007,1,1,0.0,0.0,0.0,21.26826576,21.26826576,0,1,0,0.1251882460190273
Gemma-Instant,Gemma431BThinking,single,r47D5H71a5s_case_0008,1,4,0.75,0.2736745879,0.2736745879,47.88639933,47.88639933,3,1,2,0.7143560326364289
Gemma-Instant,Gemma431BThinking,single,r47D5H71a5s_case_0009,1,4,0.25,0.1725907734,0.1725907734,37.41420639,37.41420639,1,3,0,0.5103378223345107
Gemma-Instant,Gemma431BThinking,single,r47D5H71a5s_case_0010,1,8,0.0,0.0,0.0,26.15118851,26.15118851,0,3,11,0.5843800509740232
Gemma-Instant,Gemma431BThinking,single,r47D5H71a5s_case_0011,1,1,0.0,0.0,0.0,6.566019929,6.566019929,0,1,0,0.6323567590587781
Gemma-Instant,Gemma431BThinking,single,r47D5H71a5s_case_0012,1,1,0.0,0.0,0.0,12.81204346,12.81204346,0,1,0,0.2996163402720286
Gemma-Instant,Gemma431BThinking,single,r47D5H71a5s_case_0013,1,4,0.0,0.0,0.0,52.39435626,52.39435626,0,0,4,0.5029922520682983
Gemma-Instant,Gemma431BThinking,single,r47D5H71a5s_case_0014,1,4,0.25,0.2252125011,0.2252125011,27.1919373,27.1919373,1,3,0,0.6001168436208385
Gemma-Instant,Gemma431BThinking,single,r47D5H71a5s_case_0015,1,8,0.0,0.0,0.0,52.36684839,52.36684839,0,3,26,0.525567588198725
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0003,1,4,0.0,0.0,0.0,54.36605943,54.36605943,0,1,11,0.6529455364279915
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0004,1,4,0.0,0.0,0.0,68.39386696,68.39386696,0,3,0,0.4922196331410294
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0005,1,8,0.875,0.875,0.875,15.95729267,15.95729267,7,1,3,0.6354977758788526
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0006,1,1,0.0,0.0,0.0,11.68820167,11.68820167,0,1,0,0.7393130023459069
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0008,1,4,0.25,0.25,0.25,13.58396807,13.58396807,1,1,0,0.770329122108367
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0009,1,4,0.0,0.0,0.0,7.900866425,7.900866425,0,0,0,0.28070431617532826
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0010,1,8,0.25,0.08197027889,0.08197027889,69.98881906,69.98881906,2,3,1,0.5800939443084473
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0011,1,1,0.0,0.0,0.0,60.15821129,60.15821129,0,0,5,0.44696534997052717
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0012,1,1,0.0,0.0,0.0,6.435901822,6.435901822,0,1,0,0.7133358144000365
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0013,1,4,0.0,0.0,0.0,5.970620934,5.970620934,0,0,4,0.6988434342710034
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0014,1,4,0.0,0.0,0.0,1.093188373,1.093188373,0,4,0,0.5603730486458538
Gemma-Instant,Gemma431BThinking,single,zsNo4HB9uLZ_case_0015,1,8,0.625,0.5234205696,0.5234205696,28.61775733,28.61775733,5,3,0,0.761351050038544
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0033,5,4,0.5,0.1212058257,0.393749561,19.94413718,5.442774544,2,2,1,0.8567842787196369
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0034,5,4,0.25,0.01245223076,0.03429682255,100.2253503,24.34321825,1,2,20,0.835566876705546
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0035,5,8,0.625,0.03795554074,0.08567262144,55.76974774,13.70920943,5,3,9,0.9323739989555779
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0038,5,4,0.75,0.2535665402,0.5326462631,26.30374255,7.738180075,4,1,1,0.5728450258899094
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0039,5,4,0.75,0.07731777592,0.259815486,31.18144284,7.695832726,3,1,2,0.6808546408315905
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0040,5,8,0.75,0.06778235647,0.1362895824,79.5271514,18.69575243,6,1,21,0.7422164624656852
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0041,5,1,0.0,0.0,0.0,68.61576563,18.2862536,0,1,20,0.6886528062930413
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0043,5,4,0.0,0.0,0.0,5.207593499,1.40053596,0,4,1,0.7500374846668303
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0044,5,4,0.75,0.03955526993,0.1504600624,84.39652499,19.45329538,3,1,20,0.536026003319417
GPT-Medium,GPT54Medium,multi,17DRP5sb8fy_case_0045,5,8,0.5,0.06462349593,0.1459805513,75.22199337,18.82311337,4,3,18,0.6665850560692492
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0018,3,4,0.5,0.1714635923,0.2832398435,58.68877961,23.56872266,2,2,0,0.7724547616229952
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0020,3,8,0.625,0.4412484477,0.625,45.79348285,18.79159463,5,3,1,0.5292560748799625
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0021,3,1,0.0,0.0,0.0,16.71383195,6.228497095,0,1,0,0.9225981281971039
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0022,3,1,1.0,0.3753909659,1.0,10.03591084,3.767390265,1,0,0,0.5180378680158543
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0023,3,4,0.5,0.3244035134,0.5,30.99369199,11.19413249,2,2,0,0.6643644624015228
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0024,3,4,0.5,0.1410638532,0.2917345891,76.38360374,30.47725796,2,2,1,0.7568145975570445
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0025,3,8,0.625,0.2288996679,0.3431721886,80.55654501,32.38633049,5,3,3,0.7864042798087263
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0028,3,4,0.5,0.1511245843,0.3937222092,58.83404327,22.58259789,2,2,0,0.7248362213766922
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0029,3,4,0.0,0.0,0.0,30.01471387,10.67592557,0,4,1,0.8874518054649855
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0030,3,8,0.75,0.431693612,0.75,54.02540001,23.73474788,6,2,1,0.6027937013145579
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0031,5,1,0.0,0.0,0.0,35.46186001,8.767241017,0,1,0,0.4805139870436419
GPT-Medium,GPT54Medium,multi,JF19kD82Mey_case_0033,5,4,0.5,0.1866559282,0.4270569988,27.61368063,7.318320349,2,2,0,0.87903278804038
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0021,3,1,1.0,0.0,0.0,2.979788072,1.338259698,1,0,1,0.8655378140547023
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0022,3,1,0.0,0.0,0.0,15.46210944,6.392528866,0,1,5,0.7756711172721895
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0023,3,4,0.25,0.02843094659,0.04974753967,76.84934233,27.63886225,1,3,0,0.6626736865812272
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0024,3,4,0.75,0.315953078,0.5413298526,20.74579771,7.619931116,3,1,1,0.7334395747671739
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0025,3,8,0.25,0.1714789648,0.2251830592,15.81818102,6.105989503,2,6,0,0.7551756948091375
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0026,3,1,1.0,0.0,0.0,19.58015288,7.129187443,1,0,5,0.9132084346196766
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0028,3,4,0.75,0.05430343431,0.1447730791,50.11911789,18.79935305,3,1,6,0.6676752815614836
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0029,3,4,0.25,0.01057375716,0.02901465831,83.57130122,30.45573157,1,3,1,0.7977098238752249
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0030,3,8,0.625,0.2700771229,0.3302704066,27.43479687,12.0268042,5,3,4,0.7282792631153823
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0033,5,4,0.5,0.07314497649,0.2363348378,4.323979632,1.338259698,2,2,2,0.8148027357392043
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0034,5,4,0.5,0.01297488599,0.0435743778,38.56377403,11.482908,2,2,6,0.729643850534992
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0035,5,8,0.25,0.03082922502,0.125395623,23.65971503,5.816875112,2,6,8,0.7362339971657024
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0036,5,1,0.0,0.0,0.0,10.66819135,3.121912773,0,1,0,0.6154524442617494
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0038,5,4,0.5,0.05719749439,0.2515844517,25.50498711,5.798535432,2,2,4,0.7410945591960152
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0039,5,4,0.0,0.0,0.0,30.89383256,8.337554834,0,6,0,0.6736487247639676
GPT-Medium,GPT54Medium,multi,RPmz2sHmrrY_case_0040,5,8,0.625,0.07868247276,0.3085225381,28.82514291,7.351273381,5,3,9,0.6869259213762264
GPT-Medium,GPT54Medium,multi,r47D5H71a5s_case_0016,3,1,0.0,0.0,0.0,18.00142461,9.249017608,0,1,0,0.26153989995452276
GPT-Medium,GPT54Medium,multi,r47D5H71a5s_case_0017,3,1,1.0,0.2993899162,0.7898655127,29.77269449,11.28501544,1,0,0,0.4807852614294236
GPT-Medium,GPT54Medium,multi,r47D5H71a5s_case_0018,3,4,0.5,0.06936839077,0.1413723272,51.41688282,25.2291696,2,2,1,0.8046911450415302
GPT-Medium,GPT54Medium,multi,r47D5H71a5s_case_0019,3,4,0.5,0.184328136,0.3402379836,40.62737018,18.13290752,2,2,0,0.4042845930565722
GPT-Medium,GPT54Medium,multi,r47D5H71a5s_case_0020,3,8,0.625,0.3361976312,0.625,48.0051929,19.11145157,5,3,2,0.6062420439285295
GPT-Medium,GPT54Medium,multi,r47D5H71a5s_case_0036,5,1,1.0,0.1665023085,0.7567028144,15.84678958,3.486873574,1,0,0,0.575641200848001
