method,case_id,scan_id,agent_group,agent_number,target_id,pwgs_pair_count,target_mean_pwgs,in_common_support
GPT-Medium,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,2,7,0.6584363457979652,1
GPT-Medium,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,3,0.8790964546934661,1
GPT-Medium,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,2,0.9642663712160336,1
GPT-Medium,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,5,5,0.6184246821223841,1
GPT-Medium,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,7,1,0.45311581747337115,1
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,0,5,0.45891911912115757,1
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,1,7,0.520068095286453,1
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,2,6,0.6023615328452131,1
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,3,1,0.6886553394707391,1
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,4,4,0.9323701852931796,1
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,5,7,0.7127493163301608,1
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,7,3,0.5449751319898861,1
GPT-Medium,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,0,5,0.5284412005701855,1
GPT-Medium,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,2,3,0.6650537023202827,1
GPT-Medium,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,3,1,0.7194698980181672,1
GPT-Medium,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,4,2,0.9070528310117549,1
GPT-Medium,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,5,2,0.6354390621526653,1
GPT-Medium,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,0,1,0.9775392713937838,1
GPT-Medium,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,5,29,0.6725409681269547,1
GPT-Medium,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,7,6,0.8903802344431063,1
GPT-Medium,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,0,11,0.6149535695404451,1
GPT-Medium,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,2,29,0.45689247200269745,1
GPT-Medium,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,16,0.7335469076254897,1
GPT-Medium,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,7,29,0.5097748890813377,1
GPT-Medium,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,4,1,0.9917995805135847,1
GPT-Medium,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,0,29,0.7247972339199088,1
GPT-Medium,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,0,5,0.9021441001863023,1
GPT-Medium,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,8,0.6427654230596881,1
GPT-Medium,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,0,2,0.8571638267438795,1
GPT-Medium,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,1,1,0.6270106407846894,1
GPT-Medium,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,3,2,0.3530766049006791,1
GPT-Medium,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,4,6,0.3616236068192527,1
GPT-Medium,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,6,1,0.44740569515131157,1
GPT-Medium,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,7,2,0.9225981281971039,1
GPT-Medium,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,6,1,0.5180378680158543,1
GPT-Medium,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,2,1,0.9372821095567007,1
GPT-Medium,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,4,0.39144681524634495,1
GPT-Medium,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,0,5,0.8974630548141324,1
GPT-Medium,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,1,5,0.6571217232139501,1
GPT-Medium,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,3,11,0.7158590146430508,1
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,0,3,0.8369162360844786,1
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,1,7,0.69827194159471,1
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,3,9,0.7443673706449643,1
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,4,1,0.9611322093182555,1
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,5,11,0.7549600834158052,1
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,6,1,0.5264289392469808,1
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,7,1,0.9827531783558894,1
GPT-Medium,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,0,2,0.8107582791532271,1
GPT-Medium,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,1,3,0.6544984881168369,1
GPT-Medium,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,3,7,0.7092518968600127,1
GPT-Medium,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,2,2,0.8820486733158441,1
GPT-Medium,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,3,4,0.8315912314780034,1
GPT-Medium,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,7,2,0.948715511601109,1
GPT-Medium,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,0,1,0.8862501122994904,1
GPT-Medium,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,1,1,0.5902597026452137,1
GPT-Medium,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,3,8,0.6354655234474718,1
GPT-Medium,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,4,7,0.42771005837090403,1
GPT-Medium,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,6,1,0.47428310980970967,1
GPT-Medium,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,3,3,0.4805139870436419,1
GPT-Medium,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,0,2,0.87903278804038,1
GPT-Medium,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,0,1,0.8655378140547023,1
GPT-Medium,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,5,0.7756711172721895,1
GPT-Medium,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,1,1,0.5087551495731368,1
GPT-Medium,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,5,2,0.7506040405707598,1
GPT-Medium,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,7,25,0.7286618695997846,1
GPT-Medium,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,0,3,0.6130748053512739,1
GPT-Medium,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,2,2,0.983975989137077,1
GPT-Medium,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,7,7,0.6032679298131709,1
GPT-Medium,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,0,4,0.7480378255696678,1
GPT-Medium,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,1,4,0.7018361956749353,1
GPT-Medium,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,2,1,0.9479319117670159,1
GPT-Medium,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,5,2,0.7375984913369558,1
GPT-Medium,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,7,3,0.6404740496971127,1
GPT-Medium,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,2,7,0.9132084346196766,1
GPT-Medium,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,0,1,0.7181384941612277,1
GPT-Medium,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,17,0.6847792259342365,1
GPT-Medium,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,7,14,0.6001081245889868,1
GPT-Medium,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,2,1,0.949436018438272,1
GPT-Medium,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,5,0.8103369810463239,1
GPT-Medium,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,5,2,0.7783927976885132,1
GPT-Medium,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,7,26,0.6526734983277904,1
GPT-Medium,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,0,3,0.8809571356237504,1
GPT-Medium,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,1,2,0.8532920999005417,1
GPT-Medium,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,2,8,0.6219843850165241,1
GPT-Medium,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,5,5,0.6712410294877238,1
GPT-Medium,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,7,7,0.6139216655483715,1
GPT-Medium,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,0,1,0.8148027357392043,1
GPT-Medium,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,1,2,0.5555284199251806,1
GPT-Medium,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,2,8,0.9037592811448033,1
GPT-Medium,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,1,1,0.5647927067913633,1
GPT-Medium,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,2,5,0.8886175077901131,1
GPT-Medium,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,5,2,0.7552917769156307,1
GPT-Medium,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,7,2,0.6154524442617494,1
GPT-Medium,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,0,1,0.655725200431359,1
GPT-Medium,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,2,4,0.8859196959049271,1
GPT-Medium,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,5,5,0.6816387812517594,1
GPT-Medium,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,0,6,0.621298492103438,1
GPT-Medium,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,1,4,0.6594934765355005,1
GPT-Medium,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,5,2,0.7401542056529643,1
GPT-Medium,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,0,2,0.5683440901124633,1
GPT-Medium,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,2,4,0.8669382555992808,1
GPT-Medium,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,5,3,0.7364540477383484,1
GPT-Medium,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,6,5,0.6315498832249563,1
GPT-Medium,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,7,5,0.6313433302060834,1
GPT-Medium,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,0,2,0.4360054564629293,0
GPT-Medium,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,4,29,0.27020565563911025,1
GPT-Medium,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,2,29,0.11833643389127547,1
GPT-Medium,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,5,29,0.3861899862387352,1
GPT-Medium,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,6,5,0.9763936179871449,1
GPT-Medium,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,7,2,0.992087302551302,1
GPT-Medium,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,0,2,0.17400580123476328,1
GPT-Medium,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,2,8,0.175380950046338,1
GPT-Medium,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,5,28,0.45020359018586437,1
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,0,1,0.10137124059483682,1
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,1,27,0.31005149207885563,1
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,2,1,0.07381612097196955,1
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,3,29,0.9445985147601434,1
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,4,27,0.8487012254408993,1
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,5,1,0.10137124059483682,1
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,6,1,1.0,1
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,7,1,0.6532131522272804,1
GPT-Medium,17DRP5sb8fy_case_0006,17DRP5sb8fy,single,1,1,5,0.797208725389627,1
GPT-Medium,17DRP5sb8fy_case_0007,17DRP5sb8fy,single,1,2,29,0.780638924509082,0
GPT-Medium,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,3,3,0.8792046604870541,1
GPT-Medium,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,5,1,0.8343638969522197,1
GPT-Medium,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,0,3,0.960608568190747,1
GPT-Medium,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,5,14,0.710525185220345,1
GPT-Medium,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,0,1,0.9426187301358153,1
GPT-Medium,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,1,6,0.9723553226401246,1
GPT-Medium,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,5,8,0.8821479440907938,1
GPT-Medium,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,1,4,0.8468332387284148,1
GPT-Medium,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,4,4,0.2988568130514039,1
GPT-Medium,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,4,3,0.6794387608249988,1
GPT-Medium,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,6,5,0.6822705208381823,1
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,0,1,0.7828776182908694,1
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,1,3,0.4736371951949591,1
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,3,2,0.9477278578380504,1
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,4,4,0.6140099800814371,1
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,5,12,0.6553208711723325,1
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,7,1,0.9797252522164623,1
GPT-Medium,17DRP5sb8fy_case_0041,17DRP5sb8fy,multi,5,5,10,0.6886528062930413,1
GPT-Medium,17DRP5sb8fy_case_0042,17DRP5sb8fy,multi,5,3,3,0.8582626720768385,0
GPT-Medium,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,3,1,0.7311248027295681,1
GPT-Medium,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,5,1,0.7689501666040925,1
GPT-Medium,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,4,4,0.38870989400138367,1
GPT-Medium,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,5,13,0.6833421126374503,1
