method,case_id,scan_id,agent_group,agent_number,target_number,evaluation_status,pwgs_pair_count,evaluable_target_count,empty_support_count,valid_hypothesis_snapshot_count,invalid_hypothesis_snapshot_count,episode_pwgs,episode_target_balanced_pwgs,in_common_support,edge_jnll_status,ungrounded_edge_candidate_count
GPT-Medium,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,evaluable,12,2,0,11,0,0.7128672590896769,0.8046911450415302,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,evaluable,11,3,0,10,0,0.35976384795091504,0.4042845930565722,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,evaluable,37,7,0,10,0,0.5714263087965895,0.6062420439285295,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,evaluable,2,1,0,3,0,0.575641200848001,0.575641200848001,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,evaluable,4,1,0,5,0,0.6671042379705234,0.6671042379705234,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,evaluable,3,2,0,3,0,0.6800516638132802,0.6954891236177092,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,evaluable,15,5,0,6,0,0.7108273893045243,0.6128765238635883,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,invalid_artifact,25,1,0,26,1,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,evaluable,6,1,0,7,0,0.3718923115476603,0.3718923115476603,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,evaluable,116,4,0,29,0,0.6832716090434602,0.6832716090434603,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,evaluable,69,4,0,29,0,0.44286498342069436,0.5094976217055628,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,evaluable,34,7,0,12,0,0.5717277547094147,0.6563072249563829,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,evaluable,12,1,0,13,0,0.7502746482692308,0.7502746482692308,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,evaluable,16,4,0,7,0,0.7695135563173401,0.7571672501071476,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,evaluable,116,4,0,29,0,0.4277450294991426,0.42774502949914267,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,evaluable,84,6,0,29,0,0.4469081998769151,0.5538417125907267,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,evaluable,15,1,0,16,0,0.31628269117094665,0.31628269117094665,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,evaluable,3,1,0,4,0,0.7245631691055024,0.7245631691055024,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,evaluable,60,4,0,29,0,0.6992763781483086,0.7849933287990941,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,evaluable,14,4,0,6,0,0.5934914424531555,0.6514022934533626,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,evaluable,32,7,0,11,0,0.7678184387656628,0.7532014352746892,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,evaluable,5,1,0,6,0,0.40701853879367833,0.40701853879367833,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,evaluable,3,1,0,4,0,0.9852676452966459,0.9852676452966459,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,evaluable,14,3,0,8,0,0.701091834263307,0.7265894247488224,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,evaluable,8,3,0,6,0,0.6842214963146698,0.6786022902705963,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,evaluable,33,7,0,8,0,0.6239863075941356,0.6371569600481128,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,evaluable,13,5,0,6,0,0.6493708303199064,0.6910913388146112,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,evaluable,36,3,0,29,0,0.7173196876037253,0.8468201579879483,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0004,JF19kD82Mey,single,1,4,evaluable,85,4,0,29,0,0.5474658030398795,0.5787919595624925,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0006,JF19kD82Mey,single,1,1,evaluable,1,1,0,2,0,0.9917995805135847,0.9917995805135847,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0007,JF19kD82Mey,single,1,1,evaluable,29,1,0,29,0,0.7247972339199088,0.7247972339199088,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0016,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0018,JF19kD82Mey,multi,3,4,evaluable,13,2,0,9,0,0.7425264527237705,0.7724547616229952,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0020,JF19kD82Mey,multi,3,8,evaluable,12,5,0,7,0,0.4720532366783862,0.5292560748799625,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0021,JF19kD82Mey,multi,3,1,evaluable,2,1,0,3,0,0.9225981281971039,0.9225981281971039,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0022,JF19kD82Mey,multi,3,1,evaluable,1,1,0,2,0,0.5180378680158543,0.5180378680158543,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0023,JF19kD82Mey,multi,3,4,evaluable,5,2,0,5,0,0.5006138741084161,0.6643644624015228,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0024,JF19kD82Mey,multi,3,4,evaluable,21,3,0,12,0,0.7451130024387604,0.7568145975570445,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0025,JF19kD82Mey,multi,3,8,evaluable,33,7,0,12,0,0.7537222387792747,0.7864042798087263,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0026,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0027,JF19kD82Mey,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0028,JF19kD82Mey,multi,3,4,evaluable,12,3,0,8,0,0.7124812750564211,0.7248362213766922,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0029,JF19kD82Mey,multi,3,4,evaluable,8,3,0,5,0,0.87348666196824,0.8874518054649855,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0030,JF19kD82Mey,multi,3,8,evaluable,18,5,0,9,0,0.557138195607251,0.6027937013145579,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0031,JF19kD82Mey,multi,5,1,evaluable,3,1,0,4,0,0.4805139870436419,0.4805139870436419,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0032,JF19kD82Mey,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,JF19kD82Mey_case_0033,JF19kD82Mey,multi,5,4,evaluable,2,1,0,3,0,0.87903278804038,0.87903278804038,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0021,RPmz2sHmrrY,multi,3,1,evaluable,1,1,0,2,0,0.8655378140547023,0.8655378140547023,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0022,RPmz2sHmrrY,multi,3,1,evaluable,5,1,0,6,0,0.7756711172721895,0.7756711172721895,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0023,RPmz2sHmrrY,multi,3,4,evaluable,28,3,0,26,0,0.7223753560967597,0.6626736865812272,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0024,RPmz2sHmrrY,multi,3,4,evaluable,12,3,0,8,0,0.6691709919183476,0.7334395747671739,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0025,RPmz2sHmrrY,multi,3,8,evaluable,14,5,0,5,0,0.7245747948936199,0.7551756948091375,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0026,RPmz2sHmrrY,multi,3,1,evaluable,7,1,0,8,0,0.9132084346196766,0.9132084346196766,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0027,RPmz2sHmrrY,multi,3,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0028,RPmz2sHmrrY,multi,3,4,evaluable,32,3,0,18,0,0.6487780962277832,0.6676752815614836,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0029,RPmz2sHmrrY,multi,3,4,evaluable,34,4,0,27,0,0.6919828669285139,0.7977098238752249,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0030,RPmz2sHmrrY,multi,3,8,evaluable,25,5,0,9,0,0.6791594997232698,0.7282792631153823,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0031,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0032,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0033,RPmz2sHmrrY,multi,5,4,evaluable,1,1,0,2,0,0.8148027357392043,0.8148027357392043,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0034,RPmz2sHmrrY,multi,5,4,evaluable,10,2,0,9,0,0.8341131089008789,0.729643850534992,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0035,RPmz2sHmrrY,multi,5,8,evaluable,8,3,0,6,0,0.8148079749466487,0.7362339971657024,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0036,RPmz2sHmrrY,multi,5,1,evaluable,2,1,0,3,0,0.6154524442617494,0.6154524442617494,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0037,RPmz2sHmrrY,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0038,RPmz2sHmrrY,multi,5,4,evaluable,10,3,0,6,0,0.7607597890309864,0.7410945591960152,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0039,RPmz2sHmrrY,multi,5,4,evaluable,12,3,0,7,0,0.6538394391723799,0.6736487247639676,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,RPmz2sHmrrY_case_0040,RPmz2sHmrrY,multi,5,8,evaluable,19,5,0,6,0,0.690961548052226,0.6869259213762264,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0001,17DRP5sb8fy,single,1,1,evaluable,2,1,0,3,0,0.4360054564629293,0.4360054564629293,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0002,17DRP5sb8fy,single,1,1,evaluable,29,1,0,29,0,0.27020565563911025,0.27020565563911025,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0003,17DRP5sb8fy,single,1,4,evaluable,65,4,0,29,0,0.3307293673662867,0.6182518351671143,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0004,17DRP5sb8fy,single,1,4,evaluable,38,3,0,29,0,0.3778094665274851,0.2665301138223219,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0005,17DRP5sb8fy,single,1,8,evaluable,88,8,0,29,0,0.6887437733575735,0.5041403733336027,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0006,17DRP5sb8fy,single,1,1,evaluable,5,1,0,6,0,0.797208725389627,0.797208725389627,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0007,17DRP5sb8fy,single,1,1,evaluable,29,1,0,29,0,0.780638924509082,0.780638924509082,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0033,17DRP5sb8fy,multi,5,4,evaluable,4,2,0,4,0,0.8679944696033456,0.8567842787196369,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0034,17DRP5sb8fy,multi,5,4,evaluable,17,2,1,15,0,0.7546575469210041,0.835566876705546,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0035,17DRP5sb8fy,multi,5,8,evaluable,15,3,0,9,0,0.9222622812468608,0.9323739989555779,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0036,17DRP5sb8fy,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0037,17DRP5sb8fy,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0038,17DRP5sb8fy,multi,5,4,evaluable,8,2,0,5,0,0.5728450258899094,0.5728450258899094,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0039,17DRP5sb8fy,multi,5,4,evaluable,8,2,0,6,0,0.6812086108332385,0.6808546408315905,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0040,17DRP5sb8fy,multi,5,8,evaluable,23,6,1,13,0,0.6695156759200891,0.7422164624656852,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0041,17DRP5sb8fy,multi,5,1,evaluable,10,1,0,11,0,0.6886528062930413,0.6886528062930413,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0042,17DRP5sb8fy,multi,5,1,evaluable,3,1,0,4,0,0.8582626720768385,0.8582626720768385,0,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0043,17DRP5sb8fy,multi,5,4,evaluable,2,2,0,2,0,0.7500374846668303,0.7500374846668303,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0044,17DRP5sb8fy,multi,5,4,evaluable,17,2,0,14,0,0.6140168847230816,0.536026003319417,1,not_estimable_no_ungrounded_predictions,0
GPT-Medium,17DRP5sb8fy_case_0045,17DRP5sb8fy,multi,5,8,evaluable,22,4,1,12,0,0.6520017977341748,0.6665850560692492,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0007,r47D5H71a5s,single,1,1,evaluable,23,1,0,24,0,0.3028719158295651,0.3028719158295651,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0008,r47D5H71a5s,single,1,4,evaluable,77,4,0,29,0,0.7330876958560048,0.7320666344171476,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0009,r47D5H71a5s,single,1,4,evaluable,80,4,0,29,0,0.4851769616554269,0.5369340250033459,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0010,r47D5H71a5s,single,1,8,evaluable,62,7,0,17,0,0.6224171547792781,0.6432615803770506,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0011,r47D5H71a5s,single,1,1,evaluable,29,1,0,29,0,0.6168793565881496,0.6168793565881496,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0012,r47D5H71a5s,single,1,1,evaluable,18,1,0,19,0,0.4330698698421409,0.4330698698421409,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0013,r47D5H71a5s,single,1,4,evaluable,79,4,0,29,0,0.4277748495505661,0.40749908152554676,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0014,r47D5H71a5s,single,1,4,evaluable,50,4,0,29,0,0.4352154385830021,0.5712177852617955,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0015,r47D5H71a5s,single,1,8,evaluable,131,7,0,29,0,0.49324754273287236,0.5256730900485309,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0016,r47D5H71a5s,multi,3,1,evaluable,4,1,0,5,0,0.31854110925719503,0.31854110925719503,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0017,r47D5H71a5s,multi,3,1,evaluable,4,1,0,5,0,0.24269264411631242,0.24269264411631242,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0018,r47D5H71a5s,multi,3,4,evaluable,7,2,0,5,0,0.6942534712673865,0.6912619033182269,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0019,r47D5H71a5s,multi,3,4,evaluable,14,3,0,9,0,0.36156512939607516,0.3708213526166116,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0020,r47D5H71a5s,multi,3,8,evaluable,45,8,0,11,0,0.5771978165517618,0.5625523964511182,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0036,r47D5H71a5s,multi,5,1,evaluable,1,1,0,2,0,0.6993554507254723,0.6993554507254723,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0041,r47D5H71a5s,multi,5,1,not_applicable_no_target_hypothesis,0,0,0,1,0,,,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0042,r47D5H71a5s,multi,5,1,evaluable,2,1,0,3,0,0.7571338902794971,0.7571338902794971,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0043,r47D5H71a5s,multi,5,4,evaluable,2,1,0,3,0,0.5267825341516945,0.5267825341516945,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0044,r47D5H71a5s,multi,5,4,evaluable,5,2,0,4,0,0.6006388075687145,0.5908514116165393,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,r47D5H71a5s_case_0045,r47D5H71a5s,multi,5,8,evaluable,17,5,0,8,0,0.6856953304441114,0.7508440889451428,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0001,zsNo4HB9uLZ,single,1,1,evaluable,6,1,0,7,0,0.6232240767938686,0.6232240767938686,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0002,zsNo4HB9uLZ,single,1,1,evaluable,2,1,0,3,0,0.26701046752927127,0.26701046752927127,0,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0003,zsNo4HB9uLZ,single,1,4,evaluable,43,3,0,25,0,0.58481811918304,0.6618657706039826,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0004,zsNo4HB9uLZ,single,1,4,evaluable,60,4,0,29,0,0.5102750616023349,0.5130238371378262,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0005,zsNo4HB9uLZ,single,1,8,evaluable,44,7,0,13,0,0.4840597598592508,0.5815215634595816,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0006,zsNo4HB9uLZ,single,1,1,evaluable,5,1,0,6,0,0.7445891618125046,0.7445891618125046,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0008,zsNo4HB9uLZ,single,1,4,evaluable,47,4,0,20,0,0.7679985286268995,0.7233293098824418,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0009,zsNo4HB9uLZ,single,1,4,evaluable,92,4,0,29,0,0.513931051079226,0.46703150687131373,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0010,zsNo4HB9uLZ,single,1,8,evaluable,83,6,0,29,0,0.481998781846413,0.5802327064376814,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0011,zsNo4HB9uLZ,single,1,1,evaluable,18,1,0,19,0,0.38539453131945667,0.38539453131945667,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0012,zsNo4HB9uLZ,single,1,1,evaluable,19,1,0,20,0,0.7773380427006146,0.7773380427006146,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0013,zsNo4HB9uLZ,single,1,4,evaluable,113,4,0,29,0,0.7227706650456713,0.720291327068859,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0014,zsNo4HB9uLZ,single,1,4,evaluable,28,3,0,12,0,0.6068320260088343,0.6295104807527783,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0015,zsNo4HB9uLZ,single,1,8,evaluable,144,8,0,29,0,0.5754477051990272,0.6801777251707687,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0016,zsNo4HB9uLZ,multi,3,1,evaluable,5,1,0,6,0,0.5149639371081273,0.5149639371081273,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0017,zsNo4HB9uLZ,multi,3,1,evaluable,3,1,0,4,0,0.8953842376336064,0.8953842376336064,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0018,zsNo4HB9uLZ,multi,3,4,evaluable,12,3,0,7,0,0.7602555460900694,0.6773882282337323,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0019,zsNo4HB9uLZ,multi,3,4,evaluable,8,4,0,5,0,0.6257625475543985,0.5814852577846494,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0020,zsNo4HB9uLZ,multi,3,8,evaluable,58,7,0,19,0,0.5657787594489446,0.5015476415329686,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,zsNo4HB9uLZ_case_0045,zsNo4HB9uLZ,multi,5,8,evaluable,16,6,0,6,0,0.6376700824111203,0.6461808759098259,1,not_estimable_no_ungrounded_predictions,0
Qwen-Thinking,JF19kD82Mey_case_0003,JF19kD82Mey,single,1,4,evaluable,59,3,0,29,0,0.6968030219211688,0.7700769691166974,1,not_estimable_no_ungrounded_predictions,0
